Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Car01,1280,mil,0.4,0.1,0.0096,1.0,1.0,1.0,0.0,0.7224,1,0,0,1.0,0.0,16.26,0,0,156,0,0,156,157.0,156
Car01,1280,kcf,0.4,0.1,0.0043,1.0,1.0,1.0,0.0,0.7511,1,0,0,1.0,0.0,53.29,0,0,156,0,0,156,157.0,156
Car01,1280,tld,0.4,0.1,0.0289,1.0,1.0,1.0,0.0,0.5852,1,0,0,0.96,0.0,14.96,0,0,156,0,0,156,157.0,156
Car01,1280,medianflow,0.4,0.1,0.0081,1.0,1.0,1.0,0.0,0.8572,1,0,0,1.0,0.0,62.34,0,0,156,0,0,156,157.0,156
Car01,1280,mosse,0.4,0.1,0.008,1.0,1.0,1.0,0.0,0.7802,1,0,0,1.0,0.0,45.41,0,0,156,0,0,156,157.0,156
Car01,1280,csrt,0.4,0.1,0.0061,1.0,1.0,1.0,0.0,0.649,1,0,0,1.0,0.0,12.68,0,0,156,0,0,156,157.0,156
