Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Bike03,1504,mil,0.4,0.1,0.047,0.9714,0.9714,0.764,0.2333,0.496,1,0,0,0.87,0.03,14.18,19,2,68,0,0,70,90,70
Bike03,1504,kcf,0.4,0.1,0.01,0.1571,0.1571,1.0,0.0,0.8186,1,0,0,1.0,0.84,58.16,0,0,11,59,19,70,90,11
Bike03,1504,tld,0.4,0.1,0.4563,0.1429,0.1429,0.1124,0.8778,0.0867,0,0,1,0.14,0.86,7.09,19,60,10,0,0,70,90,70
Bike03,1504,medianflow,0.4,0.1,0.0331,0.9429,0.9429,0.7416,0.2556,0.5671,1,0,0,0.89,0.06,52.55,19,4,66,0,0,70,90,70
Bike03,1504,goturn,0.4,0.1,0.3348,0.2286,0.2286,0.1798,0.8111,0.097,0,0,1,0.11,0.77,11.66,19,54,16,0,0,70,90,70
Bike03,1504,mosse,0.4,0.1,0.0009,0.0143,0.0143,1.0,0.0,0.9356,1,0,0,1.0,0.99,64.6,0,0,1,69,19,70,90,1
Bike03,1504,csrt,0.4,0.1,0.03,1.0,1.0,0.7865,0.2111,0.5769,1,0,0,1.0,0.0,18.7,19,0,70,0,0,70,90,70
