Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Bike04,1504,mil,0.4,0.1,0.006,1.0,1.0,1.0,0.0,0.5847,1,0,0,1.0,0.0,13.42,0,0,94,0,0,94,95,94
Bike04,1504,kcf,0.4,0.1,0.0018,0.1064,0.1064,1.0,0.0,0.796,1,0,0,1.0,0.89,51.14,0,0,10,84,0,94,95,10
Bike04,1504,tld,0.4,0.1,0.2252,0.3936,0.3936,0.3936,0.6,0.1921,0,1,0,0.29,0.61,6.41,0,57,37,0,0,94,95,94
Bike04,1504,medianflow,0.4,0.1,0.2269,0.2872,0.2872,0.2872,0.7053,0.0913,0,0,1,0.12,0.71,41.59,0,67,27,0,0,94,95,94
Bike04,1504,goturn,0.4,0.1,0.0649,0.8298,0.8298,0.8298,0.1684,0.0603,0,0,1,0.01,0.17,10.33,0,16,78,0,0,94,95,94
Bike04,1504,mosse,0.4,0.1,0.003,1.0,1.0,1.0,0.0,0.6138,1,0,0,0.99,0.0,52.26,0,0,94,0,0,94,95,94
Bike04,1504,csrt,0.4,0.1,0.0028,1.0,1.0,1.0,0.0,0.7184,1,0,0,1.0,0.0,22.45,0,0,94,0,0,94,95,94
