Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Human01,720,mil,0.4,0.1,0.1465,0.3016,0.3016,0.2405,0.75,0.1341,0,0,1,0.14,0.7,16.68,16,44,19,0,0,63,80,63
Human01,720,kcf,0.4,0.1,0.0005,0.0159,0.0159,1.0,0.0,0.9579,1,0,0,1.0,0.98,95.98,0,0,1,62,16,63,80,1
Human01,720,tld,0.4,0.1,0.1717,0.5238,0.5238,0.4177,0.575,0.0905,0,0,1,0.1,0.48,13.7,16,30,33,0,0,63,80,63
Human01,720,medianflow,0.4,0.1,0.2275,0.3651,0.3651,0.2911,0.7,0.0242,0,0,1,0.02,0.63,89.63,16,40,23,0,0,63,80,63
Human01,720,goturn,0.4,0.1,0.1592,0.5556,0.5556,0.443,0.55,0.2019,0,1,0,0.33,0.44,13.87,16,28,35,0,0,63,80,63
Human01,720,mosse,0.4,0.1,,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,1.0,104.87,0,0,0,63,16,63,80,0
Human01,720,csrt,0.4,0.1,0.0074,1.0,1.0,0.7975,0.2,0.6384,1,0,0,0.98,0.0,36.6,16,0,63,0,0,63,80,63
