Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Bike03,720,mil,0.4,0.1,0.0454,0.9429,0.9429,0.7416,0.2556,0.5062,1,0,0,0.86,0.06,17.79,19,4,66,0,0,70,90,70
Bike03,720,kcf,0.4,0.1,0.0021,0.0571,0.0571,1.0,0.0,0.9315,1,0,0,1.0,0.94,85.55,0,0,4,66,19,70,90,4
Bike03,720,tld,0.4,0.1,0.3572,0.1571,0.1571,0.1236,0.8667,0.0923,0,0,1,0.14,0.84,20.94,19,59,11,0,0,70,90,70
Bike03,720,medianflow,0.4,0.1,0.4188,0.0714,0.0714,0.0581,0.9,0.0305,0,0,1,0.01,0.93,86.37,17,64,5,1,2,70,90,69
Bike03,720,goturn,0.4,0.1,0.3351,0.2286,0.2286,0.1798,0.8111,0.1048,0,0,1,0.13,0.77,13.73,19,54,16,0,0,70,90,70
Bike03,720,mosse,0.4,0.1,0.0024,0.0143,0.0143,1.0,0.0,0.9448,1,0,0,1.0,0.99,106.64,0,0,1,69,19,70,90,1
Bike03,720,csrt,0.4,0.1,0.0297,1.0,1.0,0.7865,0.2111,0.6008,1,0,0,0.94,0.0,21.52,19,0,70,0,0,70,90,70
