Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Bike03,1280,mil,0.4,0.1,0.319,0.2571,0.2571,0.2022,0.7889,0.1548,0,0,1,0.2,0.74,15.52,19,52,18,0,0,70,90,70
Bike03,1280,kcf,0.4,0.1,0.0098,0.1571,0.1571,1.0,0.0,0.8175,1,0,0,1.0,0.84,55.97,0,0,11,59,19,70,90,11
Bike03,1280,tld,0.4,0.1,0.4081,0.2143,0.2143,0.1685,0.8222,0.1065,0,0,1,0.17,0.79,9.3,19,55,15,0,0,70,90,70
Bike03,1280,medianflow,0.4,0.1,0.0433,0.8857,0.8857,0.6966,0.3,0.49,1,0,0,0.81,0.11,52.02,19,8,62,0,0,70,90,70
Bike03,1280,goturn,0.4,0.1,0.3348,0.2286,0.2286,0.1798,0.8111,0.0982,0,0,1,0.1,0.77,12.37,19,54,16,0,0,70,90,70
Bike03,1280,mosse,0.4,0.1,0.0013,0.0286,0.0286,1.0,0.0,0.8818,1,0,0,1.0,0.97,64.54,0,0,2,68,19,70,90,2
Bike03,1280,csrt,0.4,0.1,0.0381,1.0,1.0,0.7865,0.2111,0.4595,0,1,0,0.54,0.0,20.44,19,0,70,0,0,70,90,70
