Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Snowboard01,720,mil,0.4,0.1,0.0195,1.0,1.0,1.0,0.0,0.4343,0,1,0,0.58,0.0,17.48,0,0,112,0,0,112,113,112
Snowboard01,720,kcf,0.4,0.1,0.0005,0.0089,0.0089,1.0,0.0,0.9663,1,0,0,1.0,0.99,104.92,0,0,1,111,0,112,113,1
Snowboard01,720,tld,0.4,0.1,0.1324,0.7054,0.7054,0.7054,0.292,0.351,0,1,0,0.53,0.29,22.81,0,33,79,0,0,112,113,112
Snowboard01,720,medianflow,0.4,0.1,0.5194,0.1786,0.1786,0.3571,0.3186,0.2751,0,1,0,0.36,0.82,92.25,0,36,20,56,0,112,113,56
Snowboard01,720,goturn,0.4,0.1,0.4343,0.2321,0.2321,0.2321,0.7611,0.1202,0,0,1,0.15,0.77,14.0,0,86,26,0,0,112,113,112
Snowboard01,720,mosse,0.4,0.1,0.0017,0.0089,0.0089,1.0,0.0,0.9304,1,0,0,1.0,0.99,112.76,0,0,1,111,0,112,113,1
Snowboard01,720,csrt,0.4,0.1,0.0124,1.0,1.0,1.0,0.0,0.587,1,0,0,0.92,0.0,37.32,0,0,112,0,0,112,113,112
