Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Wake01,1280,mil,0.4,0.1,0.231,0.4993,0.4993,0.4993,0.5,0.1323,0,0,1,0.11,0.5,13.69,0,378,377,0,0,755,756,755
Wake01,1280,kcf,0.4,0.1,0.0074,0.0331,0.0331,1.0,0.0,0.6082,1,0,0,1.0,0.97,53.05,0,0,25,730,0,755,756,25
Wake01,1280,tld,0.4,0.1,0.3034,0.1934,0.1934,0.1936,0.8042,0.049,0,0,1,0.05,0.81,8.75,0,608,146,1,0,755,756,754
Wake01,1280,medianflow,0.4,0.1,0.4086,0.0702,0.0702,0.265,0.1944,0.0947,0,0,1,0.14,0.93,51.63,0,147,53,555,0,755,756,200
Wake01,1280,goturn,0.4,0.1,0.3285,0.045,0.045,0.045,0.9537,0.0121,0,0,1,0.01,0.95,13.04,0,721,34,0,0,755,756,755
Wake01,1280,mosse,0.4,0.1,0.0087,0.0424,0.0424,1.0,0.0,0.555,1,0,0,1.0,0.96,58.85,0,0,32,723,0,755,756,32
Wake01,1280,csrt,0.4,0.1,0.0587,0.5086,0.5086,0.8033,0.1243,0.2977,0,1,0,0.33,0.49,23.87,0,94,384,277,0,755,756,478
