Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Bike09,1280,mil,0.4,0.1,0.2968,0.4071,0.4071,0.3165,0.6819,0.1922,0,1,0,0.32,0.59,14.21,97,201,138,0,0,339,437,339
Bike09,1280,kcf,0.4,0.1,0.0114,0.0324,0.0324,1.0,0.0,0.6421,1,0,0,1.0,0.97,42.61,0,0,11,328,97,339,437,11
Bike09,1280,tld,0.4,0.1,0.3888,0.177,0.177,0.1376,0.8604,0.0552,0,0,1,0.07,0.82,9.72,97,279,60,0,0,339,437,339
Bike09,1280,medianflow,0.4,0.1,0.3959,0.1858,0.1858,0.1504,0.8146,0.1104,0,0,1,0.18,0.81,44.84,88,268,63,8,9,339,437,331
Bike09,1280,goturn,0.4,0.1,0.114,0.6726,0.6726,0.5229,0.476,0.4082,0,1,0,0.61,0.33,12.58,97,111,228,0,0,339,437,339
Bike09,1280,mosse,0.4,0.1,0.0117,0.3953,0.3953,1.0,0.0,0.558,1,0,0,0.91,0.6,55.27,0,0,134,205,97,339,437,134
Bike09,1280,csrt,0.4,0.1,0.0171,0.4218,0.4218,0.9286,0.0252,0.6363,1,0,0,0.94,0.58,27.33,11,0,143,196,86,339,437,143
