Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Surf01,720,mil,0.4,0.1,0.0506,0.901,0.901,0.783,0.2167,0.3063,0,1,0,0.31,0.1,18.3,105,69,628,0,0,697,803,697
Surf01,720,kcf,0.4,0.1,0.0009,0.0014,0.0014,1.0,0.0,0.9636,1,0,0,1.0,1.0,118.62,0,0,1,696,105,697,803,1
Surf01,720,tld,0.4,0.1,0.0546,0.8494,0.8494,0.7419,0.2565,0.3312,0,1,0,0.46,0.15,29.56,101,105,592,0,4,697,803,697
Surf01,720,medianflow,0.4,0.1,0.2722,0.0775,0.0775,0.0684,0.9166,0.0222,0,0,1,0.03,0.92,111.92,105,631,54,12,0,697,803,685
Surf01,720,goturn,0.4,0.1,0.0684,0.7776,0.7776,0.6758,0.3238,0.1471,0,0,1,0.15,0.22,18.08,105,155,542,0,0,697,803,697
Surf01,720,mosse,0.4,0.1,0.0041,0.0057,0.0057,1.0,0.0,0.8017,1,0,0,1.0,0.99,131.08,0,0,4,693,105,697,803,4
Surf01,720,csrt,0.4,0.1,0.0282,0.2339,0.2339,0.7443,0.0697,0.4279,0,1,0,0.61,0.77,66.27,56,0,163,534,49,697,803,163
