Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Bike09,1920,mil,0.4,0.1,0.0724,0.8112,0.8112,0.6307,0.3684,0.309,0,1,0,0.36,0.19,10.59,97,64,275,0,0,339,437,339
Bike09,1920,kcf,0.4,0.1,0.0164,0.2979,0.2979,1.0,0.0,0.5021,0,1,0,0.65,0.7,22.24,0,0,101,238,97,339,437,101
Bike09,1920,tld,0.4,0.1,0.3919,0.1475,0.1475,0.1147,0.8833,0.0317,0,0,1,0.04,0.85,4.15,97,289,50,0,0,339,437,339
Bike09,1920,medianflow,0.4,0.1,0.3512,0.1976,0.1976,0.1846,0.6773,0.1425,0,1,0,0.22,0.8,27.8,71,225,67,47,26,339,437,292
Bike09,1920,goturn,0.4,0.1,0.1144,0.6903,0.6903,0.5367,0.4622,0.4073,0,1,0,0.6,0.31,9.99,97,105,234,0,0,339,437,339
Bike09,1920,mosse,0.4,0.1,0.2091,0.59,0.59,0.578,0.3341,0.3017,0,1,0,0.41,0.41,31.84,50,96,200,43,47,339,437,296
Bike09,1920,csrt,0.4,0.1,0.0177,0.4218,0.4218,0.9286,0.0252,0.6471,1,0,0,0.95,0.58,16.67,11,0,143,196,86,339,437,143
