Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Ski03,1920,mil,0.4,0.1,0.291,0.2606,0.2606,0.2606,0.7388,0.1225,0,0,1,0.12,0.74,13.77,0,823,290,0,0,1113,1114,1113
Ski03,1920,kcf,0.4,0.1,0.086,0.6146,0.6146,0.8424,0.1149,0.1989,0,0,1,0.16,0.39,20.77,0,128,684,301,0,1113,1114,812
Ski03,1920,tld,0.4,0.1,0.2064,0.4034,0.4034,0.4034,0.5961,0.2172,0,1,0,0.35,0.6,7.3,0,664,449,0,0,1113,1114,1113
Ski03,1920,medianflow,0.4,0.1,0.079,0.4627,0.4627,0.8188,0.1023,0.4018,0,1,0,0.53,0.54,37.98,0,114,515,484,0,1113,1114,629
Ski03,1920,mosse,0.4,0.1,0.0695,0.9928,0.9928,0.9928,0.0072,0.1212,0,0,1,0.1,0.01,38.37,0,8,1105,0,0,1113,1114,1113
Ski03,1920,csrt,0.4,0.1,0.013,1,1,1,0,0.396,0,1,0,0.33,0,15.61,0,0,1113,0,0,1113,1114,1113
Ski03,1920,goturn,0.4,0.1,0.0073,1,1,1,0,0.5091,1,0,0,0.83,0,13.8,0,0,1113,0,0,1113,1114,1113
