,Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
361,Bike05,720,tld,0.4,0.1,0.0624,0.8471,0.8471,0.8471,0.1519,0.4488,0,1,0,0.71,0.15,30.17,0,24,133,0,0,157,158.0,157
362,Bike05,720,medianflow,0.4,0.1,0.0757,0.6561,0.6561,0.7863,0.1772,0.5157,0,1,0,0.74,0.34,84.01,0,28,103,26,0,157,158.0,131
363,Bike05,720,goturn,0.4,0.1,0.9293,0.2293,0.2293,0.2293,0.7658,0.0399,0,0,1,0.03,0.77,7.29,0,121,36,0,0,157,158.0,157
364,Bike05,720,mosse,0.4,0.1,,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,1.0,98.25,0,0,0,157,0,157,158.0,0
365,Bike05,720,csrt,0.4,0.1,0.0061,1.0,1.0,1.0,0.0,0.6322,1,0,0,0.91,0.0,29.17,0,0,157,0,0,157,158.0,157
366,Bike05,1504,mil,0.4,0.1,0.019,1.0,1.0,1.0,0.0,0.4782,0,1,0,0.57,0.0,13.5,0,0,157,0,0,157,158.0,157
367,Bike05,1504,kcf,0.4,0.1,0.0068,0.7707,0.7707,1.0,0.0,0.5451,0,1,0,0.74,0.23,48.52,0,0,121,36,0,157,158.0,121
368,Bike05,1504,tld,0.4,0.1,0.0654,0.8854,0.8854,0.8854,0.1139,0.5459,0,1,0,0.8,0.11,10.6,0,18,139,0,0,157,158.0,157
369,Bike05,1504,medianflow,0.4,0.1,0.1463,0.5924,0.5924,0.6039,0.3861,0.3888,0,1,0,0.56,0.41,39.8,0,61,93,3,0,157,158.0,154
370,Bike05,1504,goturn,0.4,0.1,0.5713,0.586,0.586,0.586,0.4114,0.2247,0,1,0,0.27,0.41,8.21,0,65,92,0,0,157,158.0,157
371,Bike05,1504,mosse,0.4,0.1,0.0086,1.0,1.0,1.0,0.0,0.4815,0,1,0,0.55,0.0,54.09,0,0,157,0,0,157,158.0,157
372,Bike05,1504,csrt,0.4,0.1,0.0053,1.0,1.0,1.0,0.0,0.7469,1,0,0,1.0,0.0,19.85,0,0,157,0,0,157,158.0,157
