Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Bike05,1280,mil,0.4,0.1,0.0224,1.0,1.0,1.0,0.0,0.4728,0,1,0,0.58,0.0,13.91,0,0,157,0,0,157,158,157
Bike05,1280,kcf,0.4,0.1,0.0064,0.6561,0.6561,1.0,0.0,0.5814,1,0,0,0.84,0.34,41.01,0,0,103,54,0,157,158,103
Bike05,1280,tld,0.4,0.1,0.0631,0.8854,0.8854,0.8854,0.1139,0.4963,0,1,0,0.8,0.11,12.88,0,18,139,0,0,157,158,157
Bike05,1280,medianflow,0.4,0.1,0.0911,0.7006,0.7006,0.7432,0.2405,0.4912,0,1,0,0.66,0.3,47.86,0,38,110,9,0,157,158,148
Bike05,1280,goturn,0.4,0.1,0.7346,0.5478,0.5478,0.5478,0.4494,0.1787,0,0,1,0.17,0.45,3.13,0,71,86,0,0,157,158,157
Bike05,1280,mosse,0.4,0.1,0.0089,1.0,1.0,1.0,0.0,0.4801,0,1,0,0.55,0.0,55.52,0,0,157,0,0,157,158,157
Bike05,1280,csrt,0.4,0.1,0.0054,1.0,1.0,1.0,0.0,0.7078,1,0,0,1.0,0.0,16.95,0,0,157,0,0,157,158,157
