Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Sup01,1504,mil,0.4,0.1,0.0094,1.0,1.0,0.9812,0.0188,0.4801,0,1,0,0.78,0.0,14.8,7,0,365,0,0,365,373,365
Sup01,1504,kcf,0.4,0.1,0.0037,0.2274,0.2274,1.0,0.0,0.7902,1,0,0,1.0,0.77,72.81,0,0,83,282,7,365,373,83
Sup01,1504,tld,0.4,0.1,0.0094,0.8767,0.8767,1.0,0.0,0.5871,1,0,0,0.96,0.12,12.35,0,0,320,45,7,365,373,320
Sup01,1504,medianflow,0.4,0.1,0.0144,0.8932,0.8932,0.9731,0.0241,0.4336,0,1,0,0.5,0.11,62.77,0,9,326,30,7,365,373,335
Sup01,1504,goturn,0.4,0.1,0.0645,0.937,0.937,0.9194,0.0804,0.277,0,1,0,0.28,0.06,12.63,7,23,342,0,0,365,373,365
Sup01,1504,csrt,0.4,0.1,0.0044,0.937,0.937,1.0,0.0,0.5207,0,1,0,0.78,0.06,22.68,0,0,342,23,7,365,373,342
