Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Bike04,720,mil,0.4,0.1,0.126,0.5319,0.5319,0.5319,0.4632,0.1182,0,1,0,0.2,0.47,16.71,0,44,50,0,0,94,95,94
Bike04,720,kcf,0.4,0.1,0.0017,0.0106,0.0106,1.0,0.0,0.8752,1,0,0,1.0,0.99,90.38,0,0,1,93,0,94,95,1
Bike04,720,tld,0.4,0.1,0.4136,0.0,0.0,0.0,0.9895,0.0,0,0,1,0.0,1.0,12.16,0,94,0,0,0,94,95,94
Bike04,720,medianflow,0.4,0.1,0.2638,0.2234,0.2234,0.2234,0.7684,0.0321,0,0,1,0.04,0.78,84.57,0,73,21,0,0,94,95,94
Bike04,720,goturn,0.4,0.1,0.0591,0.7553,0.7553,0.7553,0.2421,0.0906,0,0,1,0.03,0.24,14.03,0,23,71,0,0,94,95,94
Bike04,720,mosse,0.4,0.1,,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,1.0,98.75,0,0,0,94,0,94,95,0
Bike04,720,csrt,0.4,0.1,0.0034,1.0,1.0,1.0,0.0,0.6451,1,0,0,1.0,0.0,20.46,0,0,94,0,0,94,95,94
