Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Bike04,1504,mil,0.4,0.1,0.0039,1.0,1.0,1.0,0.0,0.6339,1,0,0,0.99,0.0,13.83,0,0,94,0,0,94,95,94
Bike04,1504,kcf,0.4,0.1,0.0018,1.0,0.1064,1.0,0.0,0.796,1,0,0,1.0,0.0,53.61,0,0,10,0,0,94,95,10
Bike04,1504,tld,0.4,0.1,0.2008,0.4255,0.4255,0.4255,0.5684,0.2596,0,1,0,0.4,0.57,7.03,0,54,40,0,0,94,95,94
Bike04,1504,medianflow,0.4,0.1,0.2269,0.2872,0.2872,0.2872,0.7053,0.0913,0,0,1,0.12,0.71,47.32,0,67,27,0,0,94,95,94
Bike04,1504,goturn,0.4,0.1,0.0649,0.8298,0.8298,0.8298,0.1684,0.0603,0,0,1,0.01,0.17,11.98,0,16,78,0,0,94,95,94
Bike04,1504,mosse,0.4,0.1,0.003,1.0,1.0,1.0,0.0,0.6138,1,0,0,0.99,0.0,56.19,0,0,94,0,0,94,95,94
Bike04,1504,csrt,0.4,0.1,0.0028,1.0,1.0,1.0,0.0,0.7184,1,0,0,1.0,0.0,23.51,0,0,94,0,0,94,95,94
