Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Bike07,720,mil,0.4,0.1,0.0808,0.7361,0.7361,0.7162,0.28,0.3123,0,1,0,0.51,0.26,16.57,2,19,53,0,0,72,75,72
Bike07,720,kcf,0.4,0.1,0.0002,0.0139,0.0139,1.0,0.0,0.9498,1,0,0,1.0,0.99,95.03,0,0,1,71,2,72,75,1
Bike07,720,tld,0.4,0.1,0.4242,0.0139,0.0139,0.0135,0.9733,0.0028,0,0,1,0.0,0.99,12.42,2,71,1,0,0,72,75,72
Bike07,720,medianflow,0.4,0.1,0.2774,0.3056,0.3056,0.2973,0.6933,0.017,0,0,1,0.0,0.69,81.03,2,50,22,0,0,72,75,72
Bike07,720,goturn,0.4,0.1,0.251,0.2639,0.2639,0.2568,0.7333,0.0298,0,0,1,0.03,0.74,12.2,2,53,19,0,0,72,75,72
Bike07,720,mosse,0.4,0.1,,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,1.0,82.56,0,0,0,72,2,72,75,0
Bike07,720,csrt,0.4,0.1,0.0034,1.0,1.0,0.973,0.0267,0.6864,1,0,0,1.0,0.0,28.14,2,0,72,0,0,72,75,72
