Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Bike05,1504,mil,0.4,0.1,0.019,1.0,1.0,1.0,0.0,0.4782,0,1,0,0.57,0.0,13.5,0,0,157,0,0,157,158,157
Bike05,1504,kcf,0.4,0.1,0.0068,0.7707,0.7707,1.0,0.0,0.5451,0,1,0,0.74,0.23,48.52,0,0,121,36,0,157,158,121
Bike05,1504,tld,0.4,0.1,0.0654,0.8854,0.8854,0.8854,0.1139,0.5459,0,1,0,0.8,0.11,10.6,0,18,139,0,0,157,158,157
Bike05,1504,medianflow,0.4,0.1,0.1463,0.5924,0.5924,0.6039,0.3861,0.3888,0,1,0,0.56,0.41,39.8,0,61,93,3,0,157,158,154
Bike05,1504,goturn,0.4,0.1,0.5713,0.586,0.586,0.586,0.4114,0.2247,0,1,0,0.27,0.41,8.21,0,65,92,0,0,157,158,157
Bike05,1504,mosse,0.4,0.1,0.0086,1.0,1.0,1.0,0.0,0.4815,0,1,0,0.55,0.0,54.09,0,0,157,0,0,157,158,157
Bike05,1504,csrt,0.4,0.1,0.0053,1.0,1.0,1.0,0.0,0.7469,1,0,0,1.0,0.0,19.85,0,0,157,0,0,157,158,157
