frame,class_id,conf,x1,y1,w,h
91,1,0.9371996521949768,941,559,133,235
93,1,0.7394888997077942,933,550,131,293
95,1,0.8284562826156616,926,552,128,263
96,11,0.7184206247329712,922,558,127,274
98,11,0.7483007907867432,913,553,131,256
100,1,0.990532636642456,904,548,137,231
101,1,0.8467165231704712,917,547,123,239
103,1,0.9954142570495605,908,550,142,205
103,2,0.8889989852905273,919,642,139,219
104,1,0.9908418655395508,900,547,153,189
105,1,0.9895864129066467,914,547,135,164
105,2,0.9679888486862183,892,626,172,217
106,1,0.9984281063079834,916,543,136,175
106,2,0.736760675907135,942,653,125,193
107,1,0.9991770386695862,908,543,149,191
107,37,0.8121169805526733,973,679,91,168
108,1,0.9996848106384277,914,539,148,192
109,1,0.9979290962219238,913,536,153,188
110,1,0.998715877532959,912,532,154,231
111,1,0.9676409363746643,911,531,158,246
112,1,0.9823209047317505,914,528,157,226
113,1,0.9958518743515015,916,527,161,195
113,2,0.7823060750961304,913,614,183,212
114,1,0.998813271522522,916,532,161,196
115,1,0.998664140701294,915,529,159,187
116,1,0.9959486126899719,908,530,174,233
117,1,0.9880722761154175,920,524,161,214
117,4,0.9659227132797241,908,581,215,232
118,1,0.991607666015625,931,526,145,202
118,4,0.8873507976531982,911,588,225,225
119,1,0.9873232245445251,937,525,151,184
119,2,0.8312691450119019,911,596,229,209
120,1,0.9816873669624329,940,524,152,182
120,2,0.9038184881210327,907,590,242,218
121,1,0.9958362579345703,939,521,161,187
121,2,0.9150388836860657,922,587,224,212
122,1,0.9875335693359375,941,519,151,168
122,2,0.8971150517463684,917,588,241,209
123,2,0.9835819005966187,918,579,238,222
123,1,0.9628473520278931,946,518,145,171
123,1,0.8657965064048767,1034,527,76,107
124,1,0.9837365746498108,948,509,159,191
124,1,0.8383681774139404,1041,525,67,103
125,1,0.9794827699661255,961,507,148,188
125,2,0.9664547443389893,928,584,222,192
125,1,0.914362370967865,1042,515,74,116
126,1,0.9950586557388306,963,499,155,174
126,2,0.9527162909507751,928,583,240,202
127,1,0.9994263648986816,969,494,158,208
127,2,0.9329003095626831,931,588,232,187
128,1,0.9837342500686646,963,487,171,226
128,2,0.8795769214630127,931,566,232,202
129,1,0.9985578656196594,974,489,157,217
130,1,0.9993194341659546,973,480,161,226
130,2,0.8376511335372925,947,578,231,200
131,1,0.9981086254119873,978,477,153,213
131,2,0.8372639417648315,1048,565,133,221
131,1,0.8263026475906372,1072,489,64,114
132,1,0.9982869029045105,963,463,195,279
133,1,0.9974386692047119,968,463,176,263
134,1,0.9357026815414429,964,462,180,233
135,1,0.9920069575309753,961,458,181,245
135,2,0.9186638593673706,942,520,238,253
136,36,0.9642167091369629,1089,470,50,59
136,1,0.9391347765922546,961,459,163,239
137,4,0.931658148765564,948,469,257,301
138,1,0.9903505444526672,762,838,109,217
138,1,0.9594411849975586,960,455,150,231
139,1,0.9708799719810486,739,812,103,247
139,39,0.9061122536659241,566,895,185,175
139,4,0.8301966190338135,942,528,281,248
140,4,0.9924505352973938,934,557,263,216
140,1,0.9787474870681763,707,801,119,275
141,1,0.9805148839950562,682,790,115,287
141,2,0.9354472160339355,932,569,232,194
141,1,0.8861604928970337,459,843,221,236
141,1,0.8393515944480896,953,545,118,131
142,1,0.8357409834861755,646,784,124,285
143,1,0.9382150769233704,930,522,148,143
143,1,0.8287303447723389,634,766,108,301
145,1,0.9794321060180664,984,530,204,205
145,37,0.911157488822937,1033,668,132,106
146,1,0.7927019000053406,0,190,50,88
146,1,0.7009351253509521,956,514,230,241
148,1,0.994592010974884,908,511,228,249
149,1,0.9864295721054077,866,486,228,246
150,1,0.9754374623298645,860,487,204,224
151,1,0.9924045205116272,861,481,180,236
152,22,0.8928705453872681,877,574,138,111
158,15,0.9079374074935913,261,169,32,29
159,1,0.8810564279556274,274,605,101,173
162,1,0.9571654796600342,942,492,117,135
162,1,0.7621609568595886,944,607,61,66
163,15,0.7995493412017822,203,165,35,28
164,15,0.8242394328117371,861,500,83,68
167,2,0.8310118913650513,811,549,296,248
169,9,0.8192366361618042,21,500,1069,484
169,2,0.7889241576194763,716,551,373,260
170,4,0.8758443593978882,802,564,292,227
170,9,0.7544158697128296,43,485,994,472
171,1,0.9702454209327698,801,467,203,283
171,2,0.9344441294670105,775,524,291,276
172,1,0.9898555278778076,830,461,191,268
172,4,0.9755900502204895,834,556,238,247
173,1,0.9992969036102295,814,468,201,272
173,4,0.7674874067306519,795,572,275,231
174,1,0.9966670870780945,820,458,185,271
174,2,0.9595054388046265,784,554,277,250
175,1,0.9980510473251343,811,455,214,273
175,2,0.9914501309394836,790,568,271,237
176,1,0.9985144734382629,819,459,200,243
176,2,0.955801248550415,794,559,276,255
177,1,0.9993441700935364,827,460,192,242
177,2,0.9699299335479736,796,567,275,247
178,1,0.9996092915534973,823,462,189,232
178,2,0.8980744481086731,807,579,271,242
179,1,0.9997299313545227,830,467,181,251
179,2,0.8362151980400085,816,580,264,244
180,1,0.9995026588439941,831,472,180,252
180,2,0.7878917455673218,809,585,269,250
181,1,0.9992873072624207,838,476,172,251
181,4,0.8702869415283203,806,586,275,263
181,36,0.8078299760818481,932,480,56,58
182,1,0.9991082549095154,842,484,167,243
182,2,0.9873518943786621,819,594,258,254
182,25,0.7216695547103882,850,488,96,79
183,1,0.9993637204170227,849,479,173,263
183,2,0.9555330872535706,823,606,260,247
183,25,0.8230266571044922,849,495,75,79
184,1,0.9994497895240784,855,489,174,246
184,2,0.9467819333076477,825,615,264,241
185,1,0.9993712306022644,860,493,176,257
185,2,0.9099423289299011,834,622,266,241
186,1,0.998440682888031,870,505,172,230
187,1,0.9991223216056824,873,511,184,238
188,1,0.998611330986023,879,516,186,238
188,30,0.9442628026008606,1364,784,190,118
188,25,0.8456527590751648,869,523,82,88
189,1,0.9990854263305664,889,529,193,250
189,2,0.8648884892463684,839,613,325,265
190,1,0.9978335499763489,895,534,200,255
190,2,0.9623962044715881,860,607,310,272
190,30,0.7372332811355591,1331,784,182,113
191,1,0.9943450689315796,911,543,185,251
191,2,0.9818761944770813,870,625,315,260
192,1,0.9975553154945374,912,549,192,283
192,2,0.9945177435874939,881,638,306,255
192,1,0.9256582856178284,996,560,124,158
193,1,0.9984959363937378,918,560,216,271
193,2,0.9924402236938477,895,649,290,247
194,1,0.9990801811218262,916,568,230,254
194,2,0.9764862656593323,900,659,309,261
195,1,0.9993987083435059,923,570,236,263
195,2,0.905052661895752,903,660,295,270
196,1,0.9993201494216919,928,580,228,258
196,2,0.9587327837944031,917,692,282,245
197,1,0.9993550181388855,938,580,219,261
197,2,0.9518766403198242,922,688,270,252
198,1,0.9996287822723389,936,585,231,277
198,2,0.8636228442192078,933,694,260,257
199,1,0.9996942281723022,937,584,229,260
200,1,0.9992915391921997,942,589,214,240
200,2,0.9270549416542053,921,691,271,288
201,1,0.99928218126297,949,592,202,255
201,2,0.884629487991333,918,697,275,282
201,37,0.7156434655189514,921,702,89,157
202,1,0.9988123178482056,948,595,199,246
202,2,0.921425998210907,916,693,278,291
203,1,0.9991967082023621,950,593,197,244
203,25,0.8072294592857361,961,594,103,97
203,2,0.8021396994590759,926,708,268,278
203,37,0.7437480688095093,929,705,97,146
204,1,0.9967222809791565,959,594,187,243
204,38,0.9226140379905701,1132,691,170,102
205,1,0.9864124059677124,968,595,162,248
205,2,0.7841021418571472,946,679,252,303
206,1,0.9969592094421387,960,603,196,265
206,2,0.7913453578948975,931,704,267,273
207,1,0.9992907047271729,958,598,203,268
208,1,0.9987360835075378,964,600,202,252
208,2,0.779270589351654,927,705,291,288
209,1,0.9976499676704407,961,603,211,261
209,2,0.8441300988197327,931,711,284,290
210,1,0.9958944320678711,958,605,219,268
211,1,0.9987618923187256,960,607,216,254
211,2,0.7711194157600403,929,713,298,284
212,1,0.9972410202026367,963,604,213,277
212,2,0.888870894908905,939,708,283,296
213,1,0.9990209341049194,952,604,224,271
213,2,0.8447657823562622,1006,716,213,286
214,1,0.9994454979896545,944,577,229,328
215,1,0.9992939233779907,940,601,233,286
215,2,0.7084798216819763,1036,721,177,287
216,1,0.9966956377029419,945,596,223,305
217,1,0.9981566071510315,944,601,216,257
217,37,0.9804337620735168,1020,738,174,265
218,1,0.9984839558601379,940,601,203,267
219,1,0.9991264939308167,934,592,224,315
220,1,0.9991260170936584,931,588,217,308
220,37,0.8702702522277832,1024,737,142,266
221,1,0.9991539716720581,931,584,206,298
221,37,0.9737887978553772,1006,740,154,266
222,1,0.9975979924201965,933,582,193,329
222,1,0.9582715034484863,1029,587,115,199
222,32,0.8192410469055176,982,669,166,336
223,1,0.9968903660774231,928,569,204,282
223,37,0.7280727624893188,986,707,159,295
224,1,0.9983148574829102,922,570,200,277
224,37,0.9285719990730286,998,716,138,285
225,1,0.9989042282104492,920,572,202,292
225,37,0.9078704714775085,1007,720,124,278
226,1,0.9993556141853333,910,563,200,312
227,1,0.994491457939148,910,557,197,323
228,1,0.9096642732620239,904,550,210,349
228,30,0.7252973318099976,1020,794,85,179
229,1,0.9970781803131104,901,542,217,332
230,1,0.999093770980835,900,536,215,306
230,30,0.7797577977180481,1013,759,92,205
231,1,0.9956117272377014,891,531,220,270
231,30,0.878068745136261,1003,772,111,187
232,1,0.9989006519317627,890,530,220,281
232,30,0.9913773536682129,1006,754,102,201
233,1,0.9992419481277466,893,519,207,298
233,30,0.9127155542373657,1004,758,105,190
234,1,0.9995573163032532,892,510,218,277
234,30,0.9417865872383118,1000,750,111,201
234,39,0.7903880476951599,989,683,134,275
235,1,0.9995617270469666,887,510,221,297
235,38,0.8222857117652893,880,629,54,140
236,1,0.9995313882827759,888,507,220,294
236,38,0.8594968914985657,876,620,50,139
237,1,0.9993610978126526,891,498,216,294
237,38,0.8671913146972656,871,612,63,154
237,2,0.7175761461257935,900,620,219,303
238,1,0.9985484480857849,884,488,232,363
239,1,0.9977656602859497,883,480,220,301
240,1,0.999309778213501,888,474,219,299
241,1,0.9990752935409546,886,466,221,317
242,1,0.99814772605896,885,461,225,294
243,1,0.9988191723823547,893,447,220,286
243,2,0.8636071085929871,910,590,233,281
244,1,0.9992189407348633,891,446,228,292
244,30,0.94379061460495,1024,698,119,164
245,1,0.9989602565765381,891,456,235,279
246,1,0.9978461265563965,905,458,215,270
247,1,0.9980250597000122,912,460,224,265
248,1,0.998930037021637,922,477,215,254
248,2,0.8762045502662659,994,603,179,285
248,1,0.8283358812332153,1046,486,104,172
249,1,0.9978787899017334,929,484,229,286
249,1,0.8726582527160645,1055,489,101,190
250,1,0.9982370138168335,944,485,231,271
250,38,0.9462611675262451,921,603,141,173
251,1,0.998646080493927,959,493,237,329
251,38,0.9754834175109863,926,609,142,182
252,1,0.9993639588356018,966,500,246,281
252,38,0.942915678024292,942,630,210,164
253,1,0.999169111251831,975,515,265,269
253,38,0.8515668511390686,951,634,143,168
254,1,0.9988127946853638,986,534,269,268
254,38,0.9755152463912964,965,654,98,143
255,1,0.999072790145874,993,544,266,245
256,1,0.9890375733375549,1001,551,231,232
257,1,0.897039532661438,1003,561,268,196
266,15,0.7292924523353577,1189,591,176,142
267,2,0.9553146958351135,1271,680,260,329
267,1,0.9432739615440369,1308,603,130,137
267,1,0.8419285416603088,1165,599,179,285
270,2,0.8252605199813843,1289,587,173,238
270,1,0.7993000149726868,1128,561,237,339
271,1,0.959401547908783,1108,559,273,333
272,1,0.9648827910423279,1071,537,263,305
276,1,0.9305508732795715,1411,468,49,60
277,22,0.9256266355514526,1087,463,328,272
281,1,0.9176284670829773,1212,355,227,336
284,1,0.714968204498291,1256,519,125,143
286,1,0.8750905394554138,1456,248,75,142
287,1,0.8743453025817871,1426,213,72,99
288,1,0.9426590800285339,1397,163,88,130
289,1,0.988871157169342,1366,130,102,170
290,1,0.9922009110450745,1324,107,125,173
291,1,0.9442353844642639,1297,73,114,174
295,1,0.9691345691680908,1108,16,138,156
302,1,0.7574790716171265,904,3,162,198
304,1,0.8514938950538635,795,3,237,180
306,1,0.9906277656555176,755,8,194,242
307,1,0.9487684369087219,729,16,184,299
308,1,0.9812623858451843,705,53,176,297
308,1,0.706630289554596,205,3,202,316
309,1,0.8680378198623657,682,70,166,250
311,1,0.9735898375511169,625,135,164,192
312,15,0.9552162885665894,582,205,162,202
313,1,0.9878363013267517,557,203,170,156
314,1,0.9199627041816711,531,237,155,159
315,1,0.9963138699531555,512,250,177,247
316,1,0.9219401478767395,498,273,171,239
316,18,0.750827968120575,506,297,179,292
317,1,0.9982865452766418,501,305,180,283
318,1,0.9983934760093689,510,324,172,284
319,1,0.9993023872375488,517,347,172,292
320,1,0.9955984354019165,526,360,170,296
321,1,0.9972918629646301,532,374,166,272
322,1,0.9979262351989746,546,399,154,292
323,1,0.9983785152435303,555,412,148,292
324,1,0.9938291907310486,563,433,156,291
324,25,0.7576063275337219,566,482,43,91
325,1,0.9975588321685791,573,434,149,282
326,1,0.9983067512512207,582,448,154,291
327,1,0.9985916018486023,593,448,142,281
328,1,0.9915034770965576,601,453,157,284
328,15,0.9434918761253357,1677,468,243,379
329,1,0.9996724128723145,608,451,154,308
330,1,0.9997040629386902,619,455,148,296
330,15,0.8603699803352356,1714,521,206,367
331,1,0.999543309211731,626,459,146,273
332,1,0.9997515082359314,632,464,144,282
333,1,0.99960857629776,644,468,139,267
334,1,0.9988491535186768,651,474,144,278
335,1,0.9988331198692322,654,475,140,264
336,1,0.9990955591201782,658,477,144,265
336,25,0.7506632804870605,705,514,62,60
337,1,0.9985241293907166,663,480,146,263
337,38,0.8513659238815308,748,697,65,61
337,25,0.7284879088401794,713,514,61,69
338,1,0.9988449811935425,671,483,129,240
339,1,0.998871386051178,677,485,122,219
340,1,0.9986559152603149,680,482,121,218
341,1,0.9982343912124634,686,486,118,205
341,31,0.891921877861023,696,610,126,136
342,1,0.9982407093048096,691,486,114,225
342,2,0.7080478668212891,689,578,141,152
343,1,0.994448184967041,699,487,108,200
343,2,0.9488814473152161,697,576,126,137
344,1,0.9982221722602844,705,489,108,213
345,1,0.9982585310935974,711,490,106,205
345,2,0.7749762535095215,706,575,127,129
346,1,0.9987816214561462,710,485,111,201
346,25,0.7486011981964111,767,523,49,77
347,1,0.9987419247627258,712,489,111,201
347,38,0.8661423921585083,696,623,148,101
348,1,0.9970297813415527,732,493,97,188
348,2,0.7492915391921997,707,576,150,147
349,1,0.9962813258171082,735,497,97,164
349,2,0.9552534818649292,713,571,150,158
350,2,0.9936988353729248,723,587,151,154
350,1,0.9912533164024353,739,504,100,152
351,1,0.9966115355491638,754,498,88,157
351,2,0.9924854636192322,729,579,143,158
352,1,0.995309054851532,740,501,111,182
352,2,0.9638400077819824,739,591,135,149
353,1,0.9982927441596985,745,499,106,165
353,25,0.8697502613067627,806,525,44,73
353,2,0.8669875264167786,733,595,143,150
355,1,0.7619531154632568,769,526,95,180
356,1,0.7490073442459106,777,573,95,129
358,1,0.8717447519302368,799,568,88,139
360,2,0.7059409618377686,785,584,111,122
363,2,0.7045205235481262,797,577,142,169
364,1,0.946906328201294,820,544,91,117
365,1,0.9756009578704834,829,540,89,147
365,2,0.8213677406311035,805,609,130,143
366,2,0.9905905723571777,822,626,119,115
366,1,0.9903016090393066,833,542,93,176
367,2,0.9959827661514282,826,631,123,115
367,1,0.8667680621147156,846,566,83,164
368,2,0.9977678060531616,828,633,127,117
368,1,0.9958227872848511,839,565,92,164
369,2,0.9975475668907166,827,633,130,117
369,1,0.9965463280677795,841,556,100,163
370,1,0.9983079433441162,840,542,108,180
370,2,0.9980666041374207,835,632,125,118
371,2,0.9983022212982178,837,631,123,114
371,1,0.997768759727478,842,546,103,168
371,25,0.7690495848655701,898,568,46,63
372,1,0.9981278777122498,847,548,96,157
372,2,0.9979060888290405,836,631,126,113
372,25,0.8652055263519287,902,570,46,66
373,1,0.9972171783447266,851,552,104,143
373,2,0.9908215999603271,844,638,124,121
374,1,0.9979315996170044,853,555,105,140
374,2,0.9937466382980347,860,641,113,122
375,1,0.9974350333213806,865,554,96,159
375,2,0.9628434777259827,872,642,100,97
376,1,0.9986467957496643,876,565,87,142
376,2,0.9024707078933716,889,652,72,72
377,1,0.9581406116485596,890,565,75,140
377,1,0.7047926783561707,1814,217,28,20
377,1,0.7024779915809631,842,463,111,267
378,1,0.9984230995178223,898,573,68,132
379,1,0.9778537154197693,896,543,72,178
380,1,0.8247187733650208,869,469,105,290
381,1,0.9259452223777771,868,459,116,290
383,2,0.7016350030899048,874,654,70,81
387,1,0.7964532375335693,895,567,85,183
388,1,0.9568648338317871,890,565,100,185
389,15,0.7870379090309143,897,574,94,170
389,1,0.7413360476493835,899,575,89,161
390,1,0.975193202495575,901,575,88,169
391,1,0.9928829669952393,906,576,84,154
392,1,0.9231802821159363,908,579,88,163
393,15,0.9573838710784912,913,576,89,172
396,15,0.8976296782493591,933,590,81,146
397,15,0.8714271783828735,935,582,83,160
398,15,0.7517567873001099,946,584,72,160
400,1,0.9816243052482605,961,586,64,143
401,11,0.8389112949371338,968,587,63,137
402,1,0.843212902545929,972,589,65,146
403,1,0.9770470857620239,979,596,65,133
404,17,0.8032256960868835,985,603,63,125
405,1,0.9262585639953613,990,592,62,133
406,1,0.811738133430481,991,592,63,133
407,1,0.9153907895088196,995,592,64,135
408,1,0.9367428421974182,997,597,61,125
409,11,0.755108654499054,1001,596,57,126
410,11,0.8734085559844971,1002,593,59,132
411,11,0.9296891093254089,1004,594,58,129
412,11,0.7218298316001892,1009,596,56,121
417,1,0.9032372236251831,1011,599,53,110
419,1,0.9698765873908997,1005,575,58,139
421,1,0.7714884281158447,1005,570,52,142
429,1,0.9280797243118286,990,579,45,119
